"","PRICE($)","BRAND","MILEAGE (kms)","COLOR","YEAR","CONTINENT"
"96",19800,"Hyundai Kona T-GDI","113774","Red",2019,"Asia"
"97",19800,"Honda Stepwagon","148680","Grey",2013,"Asia"
"98",19800,"Honda HR-V LX","148106","White",2017,"Asia"
"99",19800,"Kia Optima","111608","Silver",2015,"Asia"
"100",19800,"Nissan X-Trail","206726","Gray",2015,"Asia"
"101",19800,"Kia Cerato EX","160431","Red",2019,"Asia"
"102",19800,"Hyundai Veloster GDI","136953","White",2019,"Asia"
"103",19800,"Mazda CX-5","131209","Blue",2014,"Asia"
"104",19800,"Volkswagen Tiguan","166893","Grey",2016,"Europe"
"105",19800,"MG ZS","39193","Orange",2019,"Europe"
"106",19800,"Volkswagen Scirocco","214655","White",2014,"Europe"
"107",19800,"Volkswagen Scirocco GP","231431","Red",2014,"Europe"
"108",19800,"MG ZS","114006","Black",2020,"Europe"
"109",19800,"MG ZS","80895","Blue",2020,"Europe"
"110",20800,"Mazda CX-3","167204","White",2017,"Asia"
"111",20800,"Mazda 8","162238","White",2015,"Asia"
"112",20800,"MG ZS","59467","Black",2021,"Europe"
"113",20800,"Audi A4 TFSI Multitronic","135282","Grey",2013,"Europe"
"114",20800,"Mercedes Benz SLK230","139635","Yellow",1999,"Europe"
"115",21800,"Kia Cerato GT-Line","107582","Red",2019,"Asia"
"116",21800,"Honda HR-V LX","97039","White",2019,"Asia"
"117",21800,"Nissan X-Trail","210351","White",2017,"Asia"
"118",21800,"Lexus IS250","187114","Silver",2016,"Asia"
"119",21800,"Mitsubishi Pajero Sport","223021","Blue",2013,"Asia"
"120",21800,"Nissan X-Trail","262120","Titanium",2019,"Asia"
"121",21800,"Nissan Almera High CVT","108405","Black",2021,"Asia"
"122",22800,"Hyundai Tucson GL","151229","Red",2019,"Asia"
"123",22800,"Kia Cerato EX","53721","Gravity Grey",2021,"Asia"
"124",22800,"Toyota Camry XLE","139910","Black",2013,"Asia"
"125",22800,"Kia Cerato EX","90564","Blue",2021,"Asia"
"126",22800,"Nissan Juke Premium","13195","Red",2020,"Asia"
"127",22800,"BMW 316i","118228","Havana",2014,"Europe"
"128",22800,"Mini Cooper S","46626","White",2012,"Europe"
"129",23800,"Nissan X-Trail","109596","Brown",2021,"Asia"
"130",23800,"Suzuki Jimny GL","38045","Ivory / Black",2020,"Asia"
"131",23800,"Kia Optima GT-Line","88131","Gray",2016,"Asia"
"132",23800,"Suzuki Swift Sport","105407","Blue",2020,"Asia"
"133",23800,"Toyota Camry","207168","Silver",2014,"Asia"
"134",23800,"Mazda 3","95967","Grey",2019,"Asia"
"135",23800,"Mini One","96602","Black",2015,"Europe"
"136",23800,"Volkswagen Scirocco GP R-Line","109722","White",2017,"Europe"
"137",23800,"Ford Ranger","161543","Red",2012,"North America"
"138",24800,"MG HS LUX","59953","White",2022,"Europe"
"139",24800,"MG HS G.DEL","69054","Red",2022,"Europe"
"140",24800,"BMW X3","83778","Blue",2013,"Europe"
"141",24800,"Mercedes Benz C180 CGI Classic","179938","Silver",2012,"Europe"
"142",24800,"Volkswagen Touareg","167006","Brown",2012,"Europe"
"143",24800,"Skoda Kamiq Ambition","31041","Blue",2022,"Europe"
"144",25000,"BMW 218i Active Tourer","140830","Red",2016,"Europe"
"145",25800,"Mitsubishi Xpander Cross","47771","Orange",2021,"Asia"
"146",25800,"Mazda 3","87719","Red",2020,"Asia"
"147",25800,"Toyota Corolla Altis","130594","White",2017,"Asia"
"148",25800,"Nissan NV350 Urvan Microbus","98344","Silver",2015,"Asia"
"149",25800,"BMW X3","127232","Grey",2014,"Europe"
"150",25800,"BMW 520i","97382","Blue",2014,"Europe"
"151",25800,"Skoda Octavia RS","53695","Black / Red",2020,"Europe"
"152",25800,"Volkswagen Golf A7 GTI","187454","Black",2014,"Europe"
"153",26800,"Nissan Elgrand","105380","White",2015,"Asia"
"154",26800,"Kia Sorento EX","104552","Grey",2019,"Asia"
"155",27800,"Volkswagen Golf A7 GTI","143163","Silver",2015,"Europe"
"156",28800,"Kia Sorento GT-Line","140710","Black",2018,"Asia"
"157",28800,"Honda Civic VTIS-B","87909","Grey",2016,"Asia"
"158",28800,"Toyota Corolla Ascent","73096","Silver",2021,"Asia"
"159",28800,"Nissan Elgrand","287814","White",2013,"Asia"
"160",28800,"Honda Odyssey EXV","209901","Red",2014,"Asia"
"161",28800,"Honda Odyssey EXV","156412","Mauve",2014,"Asia"
"162",28800,"Mini Cooper S Paceman","151478","Blue / White",2016,"Europe"
"163",28800,"BMW 520i","174340","Silver",2015,"Europe"
"164",28800,"Volkswagen Tiguan","123398","Black",2018,"Europe"
"165",28800,"Mercedes Benz A250 Sports RHD","79412","White",2013,"Europe"
"166",29800,"Honda Odyssey EXV","208218","Silver",2016,"Asia"
"167",29800,"Toyota Avanza Veloz","34156","Silver",2022,"Asia"
"168",29800,"Kia Grand Carnival","189859","Blue",2016,"Asia"
"169",29800,"Volkswagen Tiguan","85336","White",2019,"Europe"
"170",29800,"Mercedes Benz GLA200","172982","Blue",2015,"Europe"
"171",29800,"Mercedes Benz GLA200","120696","Red",2015,"Europe"
"172",30800,"Mercedes Benz GLA200","255854","Red",2016,"Europe"
"173",32800,"BMW 320i","90919","Black",2018,"Europe"
"174",32800,"Mini One","27498","Orange",2020,"Europe"
"175",33800,"Toyota C-HR","91390","Red / Black",2020,"Asia"
"176",33800,"Mercedes Benz E250 RHD","54830","Red",2014,"Europe"
"177",33800,"Volkswagen Golf A7 GTI","120099","Black",2017,"Europe"
"178",33800,"Audi A6 TFSI Ultra S-Tronic","83461","Beige",2016,"Europe"
"179",33800,"Mini Cooper S Coupe","127711","Red",2015,"Europe"
"180",33800,"Jeep Wrangler TJ","68245","Biege",2015,"North America"
"181",34800,"Toyota C-HR","60366","Metallic",2020,"Asia"
"182",35800,"Toyota Hiace Super Long Commuter","216646","White",2015,"Asia"
"183",35800,"Toyota C-HR","75327","Black",2020,"Asia"
"184",35800,"Mercedes Benz E300","140583","Metallic",2014,"Europe"
"185",35800,"Mercedes Benz ML250 CDI","156941","White",2015,"Europe"
"186",36800,"Lexus RX450H","142961","Black",2016,"Asia"
"187",36800,"Mercedes Benz E200 RHD","212907","Metallic",2016,"Europe"
"188",36800,"BMW 420i Gran Coupe Sport","187494","Black",2015,"Europe"
"189",38500,"Mazda CX-9","111883","Blue",2018,"Asia"
"190",39800,"Lexus RX450H","145084","Black",2015,"Asia"
"191",42800,"Nissan Elgrand","110414","Black",2019,"Asia"
"192",48800,"Mini Cooper S Clubman","57540","Red",2020,"Europe"
"193",49800,"Kia Stinger T-GDI","67843","Blue",2022,"Asia"
"194",49800,"Mercedes Benz SLK200","75041","Grey Metallic",2016,"Europe"
"195",54800,"Lexus IS300","88495","Titanium",2021,"Asia"
"196",58800,"Mercedes Benz E300 AMG","95180","Black",2021,"Europe"
"197",59800,"BMW M135i","86165","Grey",2021,"Europe"
"198",61800,"Porsche Panamera S","88441","White",2014,"Europe"
"199",65800,"Mini Cooper S Countryman - Untamed Edition","24525","Momentum Grey",2023,"Europe"
"200",68800,"Mercedes Benz GLC43 AMG","84483","White",2018,"Europe"
